ID,Species,Height (m),Location Zone,Leaf Type,Flower Color,Growth Habit,Drought Resistance,Watering Frequency,Ideal Climatic Zone
1,Rosa canina,15.29,Áreas rurales de Europa,Acicular,Violeta,Arbustivo,Baja,6,Templado
2,Pinus sylvestris,38.05,Bosques boreales,Pinnada,Blanca,Arbóreo,Baja,3,Mediterráneo
3,Lilium candidum,29.41,Altiplano Andino,Espinosa,Rosa,Trepador,Alta,5,Boreal
4,Betula pendula,24.15,Áreas rurales de Europa,Palmeada,Amarilla,Herbáceo,Alta,2,Boreal
5,Quercus robur,6.66,Bosques boreales,Acicular,Blanca,Trepador,Media,6,Templado
6,Ficus carica,6.66,Sabana Africana,Ovalada,Violeta,Herbáceo,Media,4,Boreal
7,Rosa canina,2.79,Zonas costeras del Mediterráneo,Palmeada,Blanca,Rastrero,Baja,0,Desértico
8,Cactaceae echinopsis,34.71,Zonas costeras del Mediterráneo,Lobulada,Amarilla,Arbustivo,Alta,6,Templado
9,Quercus robur,24.24,Selva Amazónica,Pinnada,Sin flor visible,Rastrero,Alta,4,Tropical
10,Pinus sylvestris,28.47,Bosques boreales,Acicular,Rosa,Herbáceo,Media,5,Mediterráneo
11,Rosa canina,1.31,Zonas montañosas,Palmeada,Rosa,Herbáceo,Baja,5,Mediterráneo
12,Quercus robur,38.81,Sabana Africana,Acicular,Sin flor visible,Herbáceo,Baja,0,Mediterráneo
13,Ficus carica,33.38,Desiertos de América Latina,Palmeada,Naranja,Arbóreo,Media,1,Desértico
14,Cactaceae echinopsis,8.89,Áreas rurales de Europa,Ovalada,Amarilla,Arbustivo,Alta,0,Tropical
15,Quercus robur,7.68,Sabana Africana,Lobulada,Rosa,Rastrero,Media,3,Templado
16,Eucalyptus globulus,7.74,Bosques boreales,Lobulada,Amarilla,Rastrero,Media,6,Templado
17,Cactaceae echinopsis,12.52,Áreas templadas de Asia,Espinosa,Violeta,Trepador,Media,2,Mediterráneo
18,Pinus sylvestris,21.23,Áreas rurales de Europa,Palmeada,Amarilla,Herbáceo,Media,1,Tropical
19,Ficus carica,17.56,Bosques de Europa,Acicular,Blanca,Herbáceo,Alta,0,Tropical
20,Betula pendula,12.0,Zonas costeras del Mediterráneo,Lobulada,Sin flor visible,Herbáceo,Media,4,Tropical
21,Salvia officinalis,24.67,Bosques boreales,Pinnada,Naranja,Rastrero,Alta,1,Boreal
22,Salvia officinalis,6.01,Bosques de Europa,Lobulada,Amarilla,Trepador,Media,6,Boreal
23,Salvia officinalis,12.04,Selva Amazónica,Lanceolada,Naranja,Arbóreo,Baja,1,Mediterráneo
24,Rosa canina,14.97,Altiplano Andino,Lanceolada,Naranja,Arbustivo,Alta,6,Tropical
25,Pinus sylvestris,18.51,Desiertos de América Latina,Lobulada,Violeta,Arbóreo,Baja,0,Tropical
26,Ficus carica,31.51,Desiertos de América Latina,Palmeada,Roja,Rastrero,Media,6,Templado
27,Cactaceae echinopsis,8.39,Bosques de Europa,Espinosa,Sin flor visible,Herbáceo,Media,1,Templado
28,Rosa canina,20.81,Zonas costeras del Mediterráneo,Lobulada,Naranja,Arbustivo,Media,4,Mediterráneo
29,Pinus sylvestris,23.9,Selva Amazónica,Ovalada,Rosa,Rastrero,Alta,5,Tropical
30,Betula pendula,2.33,Áreas templadas de Asia,Acicular,Blanca,Rastrero,Baja,1,Mediterráneo
31,Eucalyptus globulus,24.5,Zonas costeras del Mediterráneo,Espinosa,Rosa,Rastrero,Alta,6,Templado
32,Ficus carica,7.24,Sabana Africana,Ovalada,Violeta,Arbustivo,Alta,5,Templado
33,Salvia officinalis,3.07,Desiertos de América Latina,Espinosa,Violeta,Arbustivo,Media,6,Boreal
34,Quercus robur,37.98,Sabana Africana,Ovalada,Rosa,Trepador,Baja,4,Mediterráneo
35,Ficus carica,38.64,Áreas rurales de Europa,Acicular,Sin flor visible,Trepador,Media,6,Mediterráneo
36,Populus alba,32.43,Zonas montañosas,Acicular,Rosa,Arbóreo,Alta,0,Tropical
37,Pinus sylvestris,12.53,Bosques boreales,Lanceolada,Amarilla,Arbustivo,Media,2,Tropical
38,Lilium candidum,4.36,Selva Amazónica,Palmeada,Rosa,Arbustivo,Baja,1,Boreal
39,Betula pendula,27.53,Zonas costeras del Mediterráneo,Ovalada,Blanca,Arbustivo,Media,2,Desértico
